date,product,quantity,revenue,category
2016-08-04,Pepsi,34,2720,Beverage
2016-08-05,Pepsi,24,1920,Beverage
2016-08-06,Pepsi,20,1600,Beverage
2016-08-07,Pepsi,31,2480,Beverage
2016-08-08,Pepsi,11,880,Beverage
2016-08-09,Pepsi,26,2080,Beverage
2016-08-10,Pepsi,21,1680,Beverage
2016-08-11,Pepsi,23,1840,Beverage
2016-08-12,Pepsi,16,1280,Beverage
2016-08-13,Pepsi,27,2160,Beverage
2016-08-14,Pepsi,36,2880,Beverage
2016-08-15,Pepsi,24,1920,Beverage
2016-08-16,Pepsi,15,1200,Beverage
2016-08-17,Pepsi,25,2000,Beverage
2016-08-18,Pepsi,26,2080,Beverage
2016-08-19,Pepsi,29,2320,Beverage
2016-08-20,Pepsi,30,2400,Beverage
2016-08-21,Pepsi,22,1760,Beverage
2016-08-22,Pepsi,15,1200,Beverage
2016-08-23,Pepsi,24,1920,Beverage
2016-08-24,Pepsi,32,2560,Beverage
2016-08-25,Pepsi,17,1360,Beverage
2016-08-26,Pepsi,25,2000,Beverage
2016-08-27,Pepsi,24,1920,Beverage
2016-08-28,Pepsi,34,2720,Beverage
2016-08-29,Pepsi,14,1120,Beverage
2016-08-30,Pepsi,14,1120,Beverage
2016-08-31,Pepsi,17,1360,Beverage
2016-09-01,Pepsi,18,1440,Beverage
2016-09-02,Pepsi,20,1600,Beverage
2016-09-03,Pepsi,31,2480,Beverage
2016-09-04,Pepsi,25,2000,Beverage
2016-09-05,Pepsi,32,2560,Beverage
2016-09-06,Pepsi,28,2240,Beverage
2016-09-07,Pepsi,18,1440,Beverage
2016-09-08,Pepsi,28,2240,Beverage
2016-09-09,Pepsi,26,2080,Beverage
2016-09-10,Pepsi,25,2000,Beverage
2016-09-11,Pepsi,24,1920,Beverage
2016-09-12,Pepsi,24,1920,Beverage
2016-09-13,Pepsi,24,1920,Beverage
2016-09-14,Pepsi,19,1520,Beverage
2016-09-15,Pepsi,20,1600,Beverage
2016-09-16,Pepsi,19,1520,Beverage
2016-09-17,Pepsi,19,1520,Beverage
2016-09-18,Pepsi,27,2160,Beverage
2016-09-19,Pepsi,19,1520,Beverage
2016-09-20,Pepsi,23,1840,Beverage
2016-09-21,Pepsi,25,2000,Beverage
2016-09-22,Pepsi,25,2000,Beverage
2016-09-23,Pepsi,24,1920,Beverage
2016-09-24,Pepsi,26,2080,Beverage
2016-09-25,Pepsi,27,2160,Beverage
2016-09-26,Pepsi,17,1360,Beverage
2016-09-27,Pepsi,18,1440,Beverage
2016-09-28,Pepsi,27,2160,Beverage
2016-09-29,Pepsi,28,2240,Beverage
2016-09-30,Pepsi,23,1840,Beverage
2016-10-01,Pepsi,25,2000,Beverage
2016-10-02,Pepsi,26,2080,Beverage
2016-10-03,Pepsi,20,1600,Beverage
2016-10-04,Pepsi,28,2240,Beverage
2016-10-05,Pepsi,17,1360,Beverage
2016-10-06,Pepsi,22,1760,Beverage
2016-10-07,Pepsi,19,1520,Beverage
2016-10-08,Pepsi,24,1920,Beverage
2016-10-09,Pepsi,29,2320,Beverage
2016-10-10,Pepsi,18,1440,Beverage
2016-10-11,Pepsi,18,1440,Beverage
2016-10-12,Pepsi,16,1280,Beverage
2016-10-13,Pepsi,16,1280,Beverage
2016-10-14,Pepsi,32,2560,Beverage
2016-10-15,Pepsi,32,2560,Beverage
2016-10-16,Pepsi,26,2080,Beverage
2016-10-17,Pepsi,20,1600,Beverage
2016-10-18,Pepsi,21,1680,Beverage
2016-10-19,Pepsi,20,1600,Beverage
2016-10-20,Pepsi,30,2400,Beverage
2016-10-21,Pepsi,25,2000,Beverage
2016-10-22,Pepsi,26,2080,Beverage
2016-10-23,Pepsi,21,1680,Beverage
2016-10-24,Pepsi,16,1280,Beverage
2016-10-25,Pepsi,13,1040,Beverage
2016-10-26,Pepsi,16,1280,Beverage
2016-10-27,Pepsi,25,2000,Beverage
2016-10-28,Pepsi,18,1440,Beverage
2016-10-29,Pepsi,23,1840,Beverage
2016-10-30,Pepsi,33,2640,Beverage
2016-10-31,Pepsi,24,1920,Beverage
2016-11-01,Pepsi,22,1760,Beverage
2016-11-02,Pepsi,23,1840,Beverage
2016-11-03,Pepsi,23,1840,Beverage
2016-11-04,Pepsi,22,1760,Beverage
2016-11-05,Pepsi,29,2320,Beverage
2016-11-06,Pepsi,18,1440,Beverage
2016-11-07,Pepsi,17,1360,Beverage
2016-11-08,Pepsi,19,1520,Beverage
2016-11-09,Pepsi,22,1760,Beverage
2016-11-10,Pepsi,18,1440,Beverage
2016-11-11,Pepsi,26,2080,Beverage
2016-11-12,Pepsi,26,2080,Beverage
2016-11-13,Pepsi,36,2880,Beverage
2016-11-14,Pepsi,17,1360,Beverage
2016-11-15,Pepsi,22,1760,Beverage
2016-11-16,Pepsi,20,1600,Beverage
2016-11-17,Pepsi,19,1520,Beverage
2016-11-18,Pepsi,21,1680,Beverage
2016-11-19,Pepsi,36,2880,Beverage
2016-11-20,Pepsi,22,1760,Beverage
2016-11-21,Pepsi,14,1120,Beverage
2016-11-22,Pepsi,18,1440,Beverage
2016-11-23,Pepsi,20,1600,Beverage
2016-11-24,Pepsi,18,1440,Beverage
2016-11-25,Pepsi,26,2080,Beverage
2016-11-26,Pepsi,20,1600,Beverage
2016-11-27,Pepsi,20,1600,Beverage
2016-11-28,Pepsi,22,1760,Beverage
2016-11-29,Pepsi,27,2160,Beverage
2016-11-30,Pepsi,19,1520,Beverage
2016-12-01,Pepsi,13,1040,Beverage
2016-12-02,Pepsi,11,880,Beverage
2016-12-03,Pepsi,19,1520,Beverage
2016-12-04,Pepsi,24,1920,Beverage
2016-12-05,Pepsi,13,1040,Beverage
2016-12-06,Pepsi,10,800,Beverage
2016-12-07,Pepsi,17,1360,Beverage
2016-12-08,Pepsi,15,1200,Beverage
2016-12-09,Pepsi,7,560,Beverage
2016-12-10,Pepsi,12,960,Beverage
2016-12-11,Pepsi,20,1600,Beverage
2016-12-12,Pepsi,12,960,Beverage
2016-12-13,Pepsi,23,1840,Beverage
2016-12-14,Pepsi,12,960,Beverage
2016-12-15,Pepsi,10,800,Beverage
2016-12-16,Pepsi,15,1200,Beverage
2016-12-17,Pepsi,19,1520,Beverage
2016-12-18,Pepsi,22,1760,Beverage
2016-12-19,Pepsi,17,1360,Beverage
2016-12-20,Pepsi,18,1440,Beverage
2016-12-21,Pepsi,12,960,Beverage
2016-12-22,Pepsi,20,1600,Beverage
2016-12-23,Pepsi,21,1680,Beverage
2016-12-24,Pepsi,13,1040,Beverage
2016-12-25,Pepsi,20,1600,Beverage
2016-12-26,Pepsi,16,1280,Beverage
2016-12-27,Pepsi,10,800,Beverage
2016-12-28,Pepsi,16,1280,Beverage
2016-12-29,Pepsi,21,1680,Beverage
2016-12-30,Pepsi,24,1920,Beverage
2016-12-31,Pepsi,14,1120,Beverage
2017-01-01,Pepsi,19,1520,Beverage
2017-01-02,Pepsi,15,1200,Beverage
2017-01-03,Pepsi,10,800,Beverage
2017-01-04,Pepsi,16,1280,Beverage
2017-01-05,Pepsi,14,1120,Beverage
2017-01-06,Pepsi,24,1920,Beverage
2017-01-07,Pepsi,14,1120,Beverage
2017-01-08,Pepsi,20,1600,Beverage
2017-01-09,Pepsi,18,1440,Beverage
2017-01-10,Pepsi,11,880,Beverage
2017-01-11,Pepsi,14,1120,Beverage
2017-01-12,Pepsi,17,1360,Beverage
2017-01-13,Pepsi,7,560,Beverage
2017-01-14,Pepsi,16,1280,Beverage
2017-01-15,Pepsi,29,2320,Beverage
2017-01-16,Pepsi,15,1200,Beverage
2017-01-17,Pepsi,14,1120,Beverage
2017-01-18,Pepsi,10,800,Beverage
2017-01-19,Pepsi,16,1280,Beverage
2017-01-20,Pepsi,22,1760,Beverage
2017-01-21,Pepsi,13,1040,Beverage
2017-01-22,Pepsi,21,1680,Beverage
2017-01-23,Pepsi,9,720,Beverage
2017-01-24,Pepsi,18,1440,Beverage
2017-01-25,Pepsi,14,1120,Beverage
2017-01-26,Pepsi,13,1040,Beverage
2017-01-27,Pepsi,10,800,Beverage
2017-01-28,Pepsi,16,1280,Beverage
2017-01-29,Pepsi,24,1920,Beverage
2017-01-30,Pepsi,9,720,Beverage
2017-01-31,Pepsi,17,1360,Beverage
2017-02-01,Pepsi,15,1200,Beverage
2017-02-02,Pepsi,17,1360,Beverage
2017-02-03,Pepsi,24,1920,Beverage
2017-02-04,Pepsi,25,2000,Beverage
2017-02-05,Pepsi,25,2000,Beverage
2017-02-06,Pepsi,16,1280,Beverage
2017-02-07,Pepsi,12,960,Beverage
2017-02-08,Pepsi,20,1600,Beverage
2017-02-09,Pepsi,16,1280,Beverage
2017-02-10,Pepsi,16,1280,Beverage
2017-02-11,Pepsi,18,1440,Beverage
2017-02-12,Pepsi,19,1520,Beverage
2017-02-13,Pepsi,11,880,Beverage
2017-02-14,Pepsi,15,1200,Beverage
2017-02-15,Pepsi,22,1760,Beverage
2017-02-16,Pepsi,11,880,Beverage
2017-02-17,Pepsi,17,1360,Beverage
2017-02-18,Pepsi,22,1760,Beverage
2017-02-19,Pepsi,18,1440,Beverage
2017-02-20,Pepsi,5,400,Beverage
2017-02-21,Pepsi,14,1120,Beverage
2017-02-22,Pepsi,12,960,Beverage
2017-02-23,Pepsi,26,2080,Beverage
2017-02-24,Pepsi,15,1200,Beverage
2017-02-25,Pepsi,16,1280,Beverage
2017-02-26,Pepsi,28,2240,Beverage
2017-02-27,Pepsi,12,960,Beverage
2017-02-28,Pepsi,20,1600,Beverage
2017-03-01,Pepsi,16,1280,Beverage
2017-03-02,Pepsi,23,1840,Beverage
2017-03-03,Pepsi,22,1760,Beverage
2017-03-04,Pepsi,13,1040,Beverage
2017-03-05,Pepsi,25,2000,Beverage
2017-03-06,Pepsi,11,880,Beverage
2017-03-07,Pepsi,14,1120,Beverage
2017-03-08,Pepsi,17,1360,Beverage
2017-03-09,Pepsi,16,1280,Beverage
2017-03-10,Pepsi,18,1440,Beverage
2017-03-11,Pepsi,15,1200,Beverage
2017-03-12,Pepsi,21,1680,Beverage
2017-03-13,Pepsi,14,1120,Beverage
2017-03-14,Pepsi,24,1920,Beverage
2017-03-15,Pepsi,22,1760,Beverage
2017-03-16,Pepsi,23,1840,Beverage
2017-03-17,Pepsi,17,1360,Beverage
2017-03-18,Pepsi,20,1600,Beverage
2017-03-19,Pepsi,25,2000,Beverage
2017-03-20,Pepsi,14,1120,Beverage
2017-03-21,Pepsi,13,1040,Beverage
2017-03-22,Pepsi,23,1840,Beverage
2017-03-23,Pepsi,18,1440,Beverage
2017-03-24,Pepsi,19,1520,Beverage
2017-03-25,Pepsi,20,1600,Beverage
2017-03-26,Pepsi,17,1360,Beverage
2017-03-27,Pepsi,21,1680,Beverage
2017-03-28,Pepsi,13,1040,Beverage
2017-03-29,Pepsi,12,960,Beverage
2017-03-30,Pepsi,22,1760,Beverage
2017-03-31,Pepsi,13,1040,Beverage
2017-04-01,Pepsi,26,2080,Beverage
2017-04-02,Pepsi,21,1680,Beverage
2017-04-03,Pepsi,17,1360,Beverage
2017-04-04,Pepsi,22,1760,Beverage
2017-04-05,Pepsi,21,1680,Beverage
2017-04-06,Pepsi,25,2000,Beverage
2017-04-07,Pepsi,25,2000,Beverage
2017-04-08,Pepsi,23,1840,Beverage
2017-04-09,Pepsi,20,1600,Beverage
2017-04-10,Pepsi,19,1520,Beverage
2017-04-11,Pepsi,21,1680,Beverage
2017-04-12,Pepsi,17,1360,Beverage
2017-04-13,Pepsi,25,2000,Beverage
2017-04-14,Pepsi,15,1200,Beverage
2017-04-15,Pepsi,20,1600,Beverage
2017-04-16,Pepsi,32,2560,Beverage
2017-04-17,Pepsi,13,1040,Beverage
2017-04-18,Pepsi,21,1680,Beverage
2017-04-19,Pepsi,19,1520,Beverage
2017-04-20,Pepsi,26,2080,Beverage
2017-04-21,Pepsi,27,2160,Beverage
2017-04-22,Pepsi,19,1520,Beverage
2017-04-23,Pepsi,22,1760,Beverage
2017-04-24,Pepsi,17,1360,Beverage
2017-04-25,Pepsi,26,2080,Beverage
2017-04-26,Pepsi,22,1760,Beverage
2017-04-27,Pepsi,26,2080,Beverage
2017-04-28,Pepsi,25,2000,Beverage
2017-04-29,Pepsi,32,2560,Beverage
2017-04-30,Pepsi,33,2640,Beverage
2017-05-01,Pepsi,15,1200,Beverage
2017-05-02,Pepsi,21,1680,Beverage
2017-05-03,Pepsi,29,2320,Beverage
2017-05-04,Pepsi,19,1520,Beverage
2017-05-05,Pepsi,28,2240,Beverage
2017-05-06,Pepsi,34,2720,Beverage
2017-05-07,Pepsi,31,2480,Beverage
2017-05-08,Pepsi,24,1920,Beverage
2017-05-09,Pepsi,32,2560,Beverage
2017-05-10,Pepsi,17,1360,Beverage
2017-05-11,Pepsi,18,1440,Beverage
2017-05-12,Pepsi,26,2080,Beverage
2017-05-13,Pepsi,25,2000,Beverage
2017-05-14,Pepsi,32,2560,Beverage
2017-05-15,Pepsi,17,1360,Beverage
2017-05-16,Pepsi,24,1920,Beverage
2017-05-17,Pepsi,16,1280,Beverage
2017-05-18,Pepsi,32,2560,Beverage
2017-05-19,Pepsi,35,2800,Beverage
2017-05-20,Pepsi,34,2720,Beverage
2017-05-21,Pepsi,25,2000,Beverage
2017-05-22,Pepsi,20,1600,Beverage
2017-05-23,Pepsi,15,1200,Beverage
2017-05-24,Pepsi,30,2400,Beverage
2017-05-25,Pepsi,22,1760,Beverage
2017-05-26,Pepsi,24,1920,Beverage
2017-05-27,Pepsi,35,2800,Beverage
2017-05-28,Pepsi,33,2640,Beverage
2017-05-29,Pepsi,23,1840,Beverage
2017-05-30,Pepsi,17,1360,Beverage
2017-05-31,Pepsi,20,1600,Beverage
2017-06-01,Pepsi,29,2320,Beverage
2017-06-02,Pepsi,25,2000,Beverage
2017-06-03,Pepsi,36,2880,Beverage
2017-06-04,Pepsi,27,2160,Beverage
2017-06-05,Pepsi,22,1760,Beverage
2017-06-06,Pepsi,22,1760,Beverage
2017-06-07,Pepsi,29,2320,Beverage
2017-06-08,Pepsi,26,2080,Beverage
2017-06-09,Pepsi,16,1280,Beverage
2017-06-10,Pepsi,41,3280,Beverage
2017-06-11,Pepsi,28,2240,Beverage
2017-06-12,Pepsi,23,1840,Beverage
2017-06-13,Pepsi,26,2080,Beverage
2017-06-14,Pepsi,32,2560,Beverage
2017-06-15,Pepsi,30,2400,Beverage
2017-06-16,Pepsi,26,2080,Beverage
2017-06-17,Pepsi,31,2480,Beverage
2017-06-18,Pepsi,38,3040,Beverage
2017-06-19,Pepsi,30,2400,Beverage
2017-06-20,Pepsi,22,1760,Beverage
2017-06-21,Pepsi,26,2080,Beverage
2017-06-22,Pepsi,24,1920,Beverage
2017-06-23,Pepsi,26,2080,Beverage
2017-06-24,Pepsi,30,2400,Beverage
2017-06-25,Pepsi,26,2080,Beverage
2017-06-26,Pepsi,21,1680,Beverage
2017-06-27,Pepsi,32,2560,Beverage
2017-06-28,Pepsi,50,4000,Beverage
2017-06-29,Pepsi,28,2240,Beverage
2017-06-30,Pepsi,28,2240,Beverage
2017-07-01,Pepsi,31,2480,Beverage
2017-07-02,Pepsi,38,3040,Beverage
2017-07-03,Pepsi,18,1440,Beverage
2017-07-04,Pepsi,23,1840,Beverage
2017-07-05,Pepsi,23,1840,Beverage
2017-07-06,Pepsi,31,2480,Beverage
2017-07-07,Pepsi,32,2560,Beverage
2017-07-08,Pepsi,27,2160,Beverage
2017-07-09,Pepsi,32,2560,Beverage
2017-07-10,Pepsi,16,1280,Beverage
2017-07-11,Pepsi,23,1840,Beverage
2017-07-12,Pepsi,29,2320,Beverage
2017-07-13,Pepsi,22,1760,Beverage
2017-07-14,Pepsi,38,3040,Beverage
2017-07-15,Pepsi,40,3200,Beverage
2017-07-16,Pepsi,36,2880,Beverage
2017-07-17,Pepsi,20,1600,Beverage
2017-07-18,Pepsi,26,2080,Beverage
2017-07-19,Pepsi,24,1920,Beverage
2017-07-20,Pepsi,37,2960,Beverage
2017-07-21,Pepsi,27,2160,Beverage
2017-07-22,Pepsi,35,2800,Beverage
2017-07-23,Pepsi,32,2560,Beverage
2017-07-24,Pepsi,27,2160,Beverage
2017-07-25,Pepsi,20,1600,Beverage
2017-07-26,Pepsi,28,2240,Beverage
2017-07-27,Pepsi,35,2800,Beverage
2017-07-28,Pepsi,25,2000,Beverage
2017-07-29,Pepsi,30,2400,Beverage
2017-07-30,Pepsi,26,2080,Beverage
2017-07-31,Pepsi,22,1760,Beverage
2017-08-01,Pepsi,18,1440,Beverage
2017-08-02,Pepsi,19,1520,Beverage
2017-08-03,Pepsi,25,2000,Beverage
2017-08-04,Pepsi,26,2080,Beverage
2017-08-05,Pepsi,35,2800,Beverage
2017-08-06,Pepsi,29,2320,Beverage
2017-08-07,Pepsi,20,1600,Beverage
2017-08-08,Pepsi,28,2240,Beverage
2017-08-09,Pepsi,28,2240,Beverage
2017-08-10,Pepsi,31,2480,Beverage
2017-08-11,Pepsi,25,2000,Beverage
2017-08-12,Pepsi,32,2560,Beverage
2017-08-13,Pepsi,32,2560,Beverage
2017-08-14,Pepsi,26,2080,Beverage
2017-08-15,Pepsi,18,1440,Beverage
2017-08-16,Pepsi,24,1920,Beverage
2017-08-17,Pepsi,21,1680,Beverage
2017-08-18,Pepsi,35,2800,Beverage
2017-08-19,Pepsi,29,2320,Beverage
2017-08-20,Pepsi,27,2160,Beverage
2017-08-21,Pepsi,19,1520,Beverage
2017-08-22,Pepsi,28,2240,Beverage
2017-08-23,Pepsi,26,2080,Beverage
2017-08-24,Pepsi,15,1200,Beverage
2017-08-25,Pepsi,30,2400,Beverage
2017-08-26,Pepsi,38,3040,Beverage
2017-08-27,Pepsi,26,2080,Beverage
2017-08-28,Pepsi,15,1200,Beverage
2017-08-29,Pepsi,21,1680,Beverage
2017-08-30,Pepsi,22,1760,Beverage
2017-08-31,Pepsi,26,2080,Beverage
